Department,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Symptom_18,Symptom_19,Symptom_20,Symptom_21,Symptom_22,Symptom_23,Symptom_24,Symptom_25,Symptom_26,Symptom_27,Symptom_28
Enfeksiyon Hastalıkları,AIDS,kas erimesi,yüksek ateş,evlilik dışı ilişkiler,,,,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,AIDS,kas erimesi,boğazdaki lekeler,evlilik dışı ilişkiler,,,,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,AIDS,kas erimesi,boğazdaki lekeler,yüksek ateş,,,,,,,,,,,,,,,,,,,,,,,,,
Dahiliye (İç Hastalıkları),Diyabet,yorgunluk,kilo kaybı,huzursuzluk,rehavet,düzensiz şeker seviyesi,bulanık ve bozuk görüş,obezite,aşırı açlık,iştah artışı,sık idrara çıkma,,,,,,,,,,,,,,,,,,
Dahiliye (İç Hastalıkları),Diyabet,kilo kaybı,huzursuzluk,rehavet,düzensiz şeker seviyesi,bulanık ve bozuk görüş,obezite,aşırı açlık,iştah artışı,sık idrara çıkma,,,,,,,,,,,,,,,,,,,
Dahiliye (İç Hastalıkları),Diyabet,yorgunluk,huzursuzluk,rehavet,düzensiz şeker seviyesi,bulanık ve bozuk görüş,obezite,aşırı açlık,iştah artışı,sık idrara çıkma,,,,,,,,,,,,,,,,,,,
Dahiliye (İç Hastalıkları),Diyabet,yorgunluk,kilo kaybı,rehavet,düzensiz şeker seviyesi,bulanık ve bozuk görüş,obezite,aşırı açlık,iştah artışı,sık idrara çıkma,,,,,,,,,,,,,,,,,,,
Dahiliye (İç Hastalıkları),Diyabet,yorgunluk,kilo kaybı,huzursuzluk,düzensiz şeker seviyesi,bulanık ve bozuk görüş,obezite,aşırı açlık,iştah artışı,sık idrara çıkma,,,,,,,,,,,,,,,,,,,
Dahiliye (İç Hastalıkları),Diyabet,yorgunluk,kilo kaybı,huzursuzluk,rehavet,bulanık ve bozuk görüş,obezite,aşırı açlık,iştah artışı,sık idrara çıkma,,,,,,,,,,,,,,,,,,,
Dahiliye (İç Hastalıkları),Diyabet,yorgunluk,kilo kaybı,huzursuzluk,rehavet,düzensiz şeker seviyesi,obezite,aşırı açlık,iştah artışı,sık idrara çıkma,,,,,,,,,,,,,,,,,,,
Dahiliye (İç Hastalıkları),Diyabet,yorgunluk,kilo kaybı,huzursuzluk,rehavet,düzensiz şeker seviyesi,bulanık ve bozuk görüş,aşırı açlık,iştah artışı,sık idrara çıkma,,,,,,,,,,,,,,,,,,,
Dahiliye (İç Hastalıkları),Diyabet,yorgunluk,kilo kaybı,huzursuzluk,rehavet,düzensiz şeker seviyesi,bulanık ve bozuk görüş,obezite,iştah artışı,sık idrara çıkma,,,,,,,,,,,,,,,,,,,
Gastroenteroloji,Gastroenterit,kusma,çökmüş gözler,dehidrasyon,ishal,,,,,,,,,,,,,,,,,,,,,,,,
Gastroenteroloji,Gastroenterit,çökmüş gözler,dehidrasyon,ishal,,,,,,,,,,,,,,,,,,,,,,,,,
Gastroenteroloji,Gastroenterit,kusma,dehidrasyon,ishal,,,,,,,,,,,,,,,,,,,,,,,,,
Gastroenteroloji,Gastroenterit,kusma,çökmüş gözler,ishal,,,,,,,,,,,,,,,,,,,,,,,,,
Gastroenteroloji,Gastroenterit,kusma,çökmüş gözler,dehidrasyon,,,,,,,,,,,,,,,,,,,,,,,,,
Göğüs Hastalıkları,Bronşiyal Astım,yorgunluk,öksürük,yüksek ateş,nefes darlığı,aile öyküsü,sümüklü balgam,,,,,,,,,,,,,,,,,,,,,,
Göğüs Hastalıkları,Bronşiyal Astım,öksürük,yüksek ateş,nefes darlığı,aile öyküsü,sümüklü balgam,,,,,,,,,,,,,,,,,,,,,,,
Göğüs Hastalıkları,Bronşiyal Astım,yorgunluk,yüksek ateş,nefes darlığı,aile öyküsü,sümüklü balgam,,,,,,,,,,,,,,,,,,,,,,,
Göğüs Hastalıkları,Bronşiyal Astım,yorgunluk,öksürük,nefes darlığı,aile öyküsü,sümüklü balgam,,,,,,,,,,,,,,,,,,,,,,,
Göğüs Hastalıkları,Bronşiyal Astım,yorgunluk,öksürük,yüksek ateş,aile öyküsü,sümüklü balgam,,,,,,,,,,,,,,,,,,,,,,,
Göğüs Hastalıkları,Bronşiyal Astım,yorgunluk,öksürük,yüksek ateş,nefes darlığı,sümüklü balgam,,,,,,,,,,,,,,,,,,,,,,,
Göğüs Hastalıkları,Bronşiyal Astım,yorgunluk,öksürük,yüksek ateş,nefes darlığı,aile öyküsü,,,,,,,,,,,,,,,,,,,,,,,
Kardiyoloji,Hipertansiyon,baş ağrısı,göğüs ağrısı,baş dönmesi,denge kaybı,konsantrasyon eksikliği,,,,,,,,,,,,,,,,,,,,,,,
Kardiyoloji,Hipertansiyon,göğüs ağrısı,baş dönmesi,denge kaybı,konsantrasyon eksikliği,,,,,,,,,,,,,,,,,,,,,,,,
Kardiyoloji,Hipertansiyon,baş ağrısı,baş dönmesi,denge kaybı,konsantrasyon eksikliği,,,,,,,,,,,,,,,,,,,,,,,,
Kardiyoloji,Hipertansiyon,baş ağrısı,göğüs ağrısı,denge kaybı,konsantrasyon eksikliği,,,,,,,,,,,,,,,,,,,,,,,,
Kardiyoloji,Hipertansiyon,baş ağrısı,göğüs ağrısı,baş dönmesi,konsantrasyon eksikliği,,,,,,,,,,,,,,,,,,,,,,,,
Kardiyoloji,Hipertansiyon,baş ağrısı,göğüs ağrısı,baş dönmesi,denge kaybı,,,,,,,,,,,,,,,,,,,,,,,,
Nöroloji,Migren,asitlik,hazımsızlık,baş ağrısı,bulanık ve bozuk görüş,aşırı açlık,boyun tutulması,depresyon,sinirlilik,görme bozuklukları,,,,,,,,,,,,,,,,,,,
Nöroloji,Migren,hazımsızlık,baş ağrısı,bulanık ve bozuk görüş,aşırı açlık,boyun tutulması,depresyon,sinirlilik,görme bozuklukları,,,,,,,,,,,,,,,,,,,,
Nöroloji,Migren,asitlik,baş ağrısı,bulanık ve bozuk görüş,aşırı açlık,boyun tutulması,depresyon,sinirlilik,görme bozuklukları,,,,,,,,,,,,,,,,,,,,
Nöroloji,Migren,asitlik,hazımsızlık,bulanık ve bozuk görüş,aşırı açlık,boyun tutulması,depresyon,sinirlilik,görme bozuklukları,,,,,,,,,,,,,,,,,,,,
Nöroloji,Migren,asitlik,hazımsızlık,baş ağrısı,aşırı açlık,boyun tutulması,depresyon,sinirlilik,görme bozuklukları,,,,,,,,,,,,,,,,,,,,
Nöroloji,Migren,asitlik,hazımsızlık,baş ağrısı,bulanık ve bozuk görüş,boyun tutulması,depresyon,sinirlilik,görme bozuklukları,,,,,,,,,,,,,,,,,,,,
Nöroloji,Migren,asitlik,hazımsızlık,baş ağrısı,bulanık ve bozuk görüş,aşırı açlık,depresyon,sinirlilik,görme bozuklukları,,,,,,,,,,,,,,,,,,,,
Nöroloji,Migren,asitlik,hazımsızlık,baş ağrısı,bulanık ve bozuk görüş,aşırı açlık,boyun tutulması,sinirlilik,görme bozuklukları,,,,,,,,,,,,,,,,,,,,
Nöroloji,Migren,asitlik,hazımsızlık,baş ağrısı,bulanık ve bozuk görüş,aşırı açlık,boyun tutulması,depresyon,görme bozuklukları,,,,,,,,,,,,,,,,,,,,
Nöroloji,Migren,asitlik,hazımsızlık,baş ağrısı,bulanık ve bozuk görüş,aşırı açlık,boyun tutulması,depresyon,sinirlilik,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Servikal Spondiloz,sırt ağrısı,uzuvlarda zayıflık,boyun ağrısı,baş dönmesi,denge kaybı,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Servikal Spondiloz,uzuvlarda zayıflık,boyun ağrısı,baş dönmesi,denge kaybı,,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Servikal Spondiloz,sırt ağrısı,boyun ağrısı,baş dönmesi,denge kaybı,,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Servikal Spondiloz,sırt ağrısı,uzuvlarda zayıflık,baş dönmesi,denge kaybı,,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Servikal Spondiloz,sırt ağrısı,uzuvlarda zayıflık,boyun ağrısı,denge kaybı,,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Servikal Spondiloz,sırt ağrısı,uzuvlarda zayıflık,boyun ağrısı,baş dönmesi,,,,,,,,,,,,,,,,,,,,,,,,
Nöroloji,Felç (beyin kanaması),kusma,baş ağrısı,vücudun bir tarafının zayıflığı,zihin bulanıklığı,,,,,,,,,,,,,,,,,,,,,,,,
Nöroloji,Felç (beyin kanaması),baş ağrısı,vücudun bir tarafının zayıflığı,zihin bulanıklığı,,,,,,,,,,,,,,,,,,,,,,,,,
Nöroloji,Felç (beyin kanaması),kusma,vücudun bir tarafının zayıflığı,zihin bulanıklığı,,,,,,,,,,,,,,,,,,,,,,,,,
Nöroloji,Felç (beyin kanaması),kusma,baş ağrısı,zihin bulanıklığı,,,,,,,,,,,,,,,,,,,,,,,,,
Nöroloji,Felç (beyin kanaması),kusma,baş ağrısı,vücudun bir tarafının zayıflığı,,,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Sarılık,kaşıntı,kusma,yorgunluk,kilo kaybı,yüksek ateş,sarımsı cilt,koyu idrar,karın ağrısı,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Sarılık,kusma,yorgunluk,kilo kaybı,yüksek ateş,sarımsı cilt,koyu idrar,karın ağrısı,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Sarılık,kaşıntı,yorgunluk,kilo kaybı,yüksek ateş,sarımsı cilt,koyu idrar,karın ağrısı,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Sarılık,kaşıntı,kusma,kilo kaybı,yüksek ateş,sarımsı cilt,koyu idrar,karın ağrısı,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Sarılık,kaşıntı,kusma,yorgunluk,yüksek ateş,sarımsı cilt,koyu idrar,karın ağrısı,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Sarılık,kaşıntı,kusma,yorgunluk,kilo kaybı,sarımsı cilt,koyu idrar,karın ağrısı,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Sarılık,kaşıntı,kusma,yorgunluk,kilo kaybı,yüksek ateş,koyu idrar,karın ağrısı,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Sarılık,kaşıntı,kusma,yorgunluk,kilo kaybı,yüksek ateş,sarımsı cilt,karın ağrısı,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Sarılık,kaşıntı,kusma,yorgunluk,kilo kaybı,yüksek ateş,sarımsı cilt,koyu idrar,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Sıtma,üşümek,kusma,yüksek ateş,terlemek,baş ağrısı,mide bulantısı,kas ağrısı,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Sıtma,üşümek,kusma,yüksek ateş,terlemek,baş ağrısı,mide bulantısı,ishal,kas ağrısı,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Sıtma,kusma,yüksek ateş,terlemek,baş ağrısı,mide bulantısı,ishal,kas ağrısı,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Sıtma,üşümek,yüksek ateş,terlemek,baş ağrısı,mide bulantısı,ishal,kas ağrısı,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Sıtma,üşümek,kusma,terlemek,baş ağrısı,mide bulantısı,ishal,kas ağrısı,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Sıtma,üşümek,kusma,yüksek ateş,baş ağrısı,mide bulantısı,ishal,kas ağrısı,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Sıtma,üşümek,kusma,yüksek ateş,terlemek,mide bulantısı,ishal,kas ağrısı,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Sıtma,üşümek,kusma,yüksek ateş,terlemek,baş ağrısı,ishal,kas ağrısı,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Suçiçeği,kaşıntı,deri döküntüsü,yorgunluk,rehavet,yüksek ateş,baş ağrısı,iştah kaybı,hafif ateş,şişmiş lenf düğümleri,keyifsizlik,vücutta kırmızı lekeler,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Suçiçeği,deri döküntüsü,yorgunluk,rehavet,yüksek ateş,baş ağrısı,iştah kaybı,hafif ateş,şişmiş lenf düğümleri,keyifsizlik,vücutta kırmızı lekeler,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Suçiçeği,kaşıntı,yorgunluk,rehavet,yüksek ateş,baş ağrısı,iştah kaybı,hafif ateş,şişmiş lenf düğümleri,keyifsizlik,vücutta kırmızı lekeler,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Suçiçeği,kaşıntı,deri döküntüsü,rehavet,yüksek ateş,baş ağrısı,iştah kaybı,hafif ateş,şişmiş lenf düğümleri,keyifsizlik,vücutta kırmızı lekeler,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Suçiçeği,kaşıntı,deri döküntüsü,yorgunluk,yüksek ateş,baş ağrısı,iştah kaybı,hafif ateş,şişmiş lenf düğümleri,keyifsizlik,vücutta kırmızı lekeler,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Suçiçeği,kaşıntı,deri döküntüsü,yorgunluk,rehavet,baş ağrısı,iştah kaybı,hafif ateş,şişmiş lenf düğümleri,keyifsizlik,vücutta kırmızı lekeler,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Suçiçeği,kaşıntı,deri döküntüsü,yorgunluk,rehavet,yüksek ateş,iştah kaybı,hafif ateş,şişmiş lenf düğümleri,keyifsizlik,vücutta kırmızı lekeler,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Suçiçeği,kaşıntı,deri döküntüsü,yorgunluk,rehavet,yüksek ateş,baş ağrısı,hafif ateş,şişmiş lenf düğümleri,keyifsizlik,vücutta kırmızı lekeler,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Suçiçeği,kaşıntı,deri döküntüsü,yorgunluk,rehavet,yüksek ateş,baş ağrısı,iştah kaybı,şişmiş lenf düğümleri,keyifsizlik,vücutta kırmızı lekeler,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Suçiçeği,kaşıntı,deri döküntüsü,yorgunluk,rehavet,yüksek ateş,baş ağrısı,iştah kaybı,hafif ateş,keyifsizlik,vücutta kırmızı lekeler,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Dang Humması,deri döküntüsü,üşümek,eklem ağrısı,kusma,yorgunluk,yüksek ateş,baş ağrısı,mide bulantısı,iştah kaybı,gözlerin arkasındaki ağrı,sırt ağrısı,kas ağrısı,vücutta kırmızı lekeler,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Dang Humması,deri döküntüsü,üşümek,eklem ağrısı,kusma,yorgunluk,yüksek ateş,baş ağrısı,mide bulantısı,iştah kaybı,gözlerin arkasındaki ağrı,sırt ağrısı,keyifsizlik,vücutta kırmızı lekeler,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Dang Humması,deri döküntüsü,üşümek,eklem ağrısı,kusma,yorgunluk,yüksek ateş,baş ağrısı,mide bulantısı,iştah kaybı,gözlerin arkasındaki ağrı,sırt ağrısı,keyifsizlik,kas ağrısı,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Dang Humması,deri döküntüsü,üşümek,eklem ağrısı,kusma,yorgunluk,yüksek ateş,baş ağrısı,mide bulantısı,iştah kaybı,gözlerin arkasındaki ağrı,sırt ağrısı,keyifsizlik,kas ağrısı,vücutta kırmızı lekeler,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Dang Humması,üşümek,eklem ağrısı,kusma,yorgunluk,yüksek ateş,baş ağrısı,mide bulantısı,iştah kaybı,gözlerin arkasındaki ağrı,sırt ağrısı,keyifsizlik,kas ağrısı,vücutta kırmızı lekeler,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Dang Humması,deri döküntüsü,eklem ağrısı,kusma,yorgunluk,yüksek ateş,baş ağrısı,mide bulantısı,iştah kaybı,gözlerin arkasındaki ağrı,sırt ağrısı,keyifsizlik,kas ağrısı,vücutta kırmızı lekeler,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Dang Humması,deri döküntüsü,üşümek,kusma,yorgunluk,yüksek ateş,baş ağrısı,mide bulantısı,iştah kaybı,gözlerin arkasındaki ağrı,sırt ağrısı,keyifsizlik,kas ağrısı,vücutta kırmızı lekeler,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Dang Humması,deri döküntüsü,üşümek,eklem ağrısı,yorgunluk,yüksek ateş,baş ağrısı,mide bulantısı,iştah kaybı,gözlerin arkasındaki ağrı,sırt ağrısı,keyifsizlik,kas ağrısı,vücutta kırmızı lekeler,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Dang Humması,deri döküntüsü,üşümek,eklem ağrısı,kusma,yüksek ateş,baş ağrısı,mide bulantısı,iştah kaybı,gözlerin arkasındaki ağrı,sırt ağrısı,keyifsizlik,kas ağrısı,vücutta kırmızı lekeler,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Dang Humması,deri döküntüsü,üşümek,eklem ağrısı,kusma,yorgunluk,baş ağrısı,mide bulantısı,iştah kaybı,gözlerin arkasındaki ağrı,sırt ağrısı,keyifsizlik,kas ağrısı,vücutta kırmızı lekeler,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Tifo,üşümek,kusma,yorgunluk,yüksek ateş,mide bulantısı,kabızlık,karın ağrısı,ishal,zehirli görünüm,karın ağrısı,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Tifo,üşümek,kusma,yorgunluk,yüksek ateş,baş ağrısı,kabızlık,karın ağrısı,ishal,zehirli görünüm,karın ağrısı,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Tifo,üşümek,kusma,yorgunluk,yüksek ateş,baş ağrısı,mide bulantısı,karın ağrısı,ishal,zehirli görünüm,karın ağrısı,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Tifo,üşümek,kusma,yorgunluk,yüksek ateş,baş ağrısı,mide bulantısı,kabızlık,ishal,zehirli görünüm,karın ağrısı,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Tifo,üşümek,kusma,yorgunluk,yüksek ateş,baş ağrısı,mide bulantısı,kabızlık,karın ağrısı,zehirli görünüm,karın ağrısı,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Tifo,üşümek,kusma,yorgunluk,yüksek ateş,baş ağrısı,mide bulantısı,kabızlık,karın ağrısı,ishal,karın ağrısı,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Tifo,üşümek,kusma,yorgunluk,yüksek ateş,baş ağrısı,mide bulantısı,kabızlık,karın ağrısı,ishal,zehirli görünüm,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Tifo,üşümek,kusma,yorgunluk,yüksek ateş,baş ağrısı,mide bulantısı,kabızlık,karın ağrısı,ishal,zehirli görünüm,karın ağrısı,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Tifo,üşümek,yorgunluk,yüksek ateş,baş ağrısı,mide bulantısı,kabızlık,karın ağrısı,ishal,zehirli görünüm,karın ağrısı,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Hepatit A,eklem ağrısı,kusma,sarımsı cilt,koyu idrar,mide bulantısı,iştah kaybı,karın ağrısı,ishal,hafif ateş,gözlerin sararması,kas ağrısı,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Hepatit A,kusma,sarımsı cilt,koyu idrar,mide bulantısı,iştah kaybı,karın ağrısı,ishal,hafif ateş,gözlerin sararması,kas ağrısı,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Hepatit A,eklem ağrısı,sarımsı cilt,koyu idrar,mide bulantısı,iştah kaybı,karın ağrısı,ishal,hafif ateş,gözlerin sararması,kas ağrısı,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Hepatit A,eklem ağrısı,kusma,koyu idrar,mide bulantısı,iştah kaybı,karın ağrısı,ishal,hafif ateş,gözlerin sararması,kas ağrısı,,,,,,,,,,,,,,,,,,
