Department,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Symptom_18,Symptom_19,Symptom_20,Symptom_21,Symptom_22,Symptom_23,Symptom_24,Symptom_25,Symptom_26,Symptom_27,Symptom_28,text
Genel Dahiliye,GERD,karın ağrısı,dildeki ülserler,kusma,öksürük,göğüs ağrısı,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: GERD. Bölüm: Genel Dahiliye. Belirtiler: karın ağrısı, dildeki ülserler, kusma, öksürük, göğüs ağrısı."
Genel Dahiliye,GERD,karın ağrısı,asitlik,kusma,öksürük,göğüs ağrısı,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: GERD. Bölüm: Genel Dahiliye. Belirtiler: karın ağrısı, asitlik, kusma, öksürük, göğüs ağrısı."
Genel Dahiliye,GERD,karın ağrısı,asitlik,dildeki ülserler,öksürük,göğüs ağrısı,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: GERD. Bölüm: Genel Dahiliye. Belirtiler: karın ağrısı, asitlik, dildeki ülserler, öksürük, göğüs ağrısı."
Genel Dahiliye,GERD,karın ağrısı,asitlik,dildeki ülserler,kusma,göğüs ağrısı,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: GERD. Bölüm: Genel Dahiliye. Belirtiler: karın ağrısı, asitlik, dildeki ülserler, kusma, göğüs ağrısı."
Genel Dahiliye,GERD,karın ağrısı,asitlik,dildeki ülserler,kusma,öksürük,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: GERD. Bölüm: Genel Dahiliye. Belirtiler: karın ağrısı, asitlik, dildeki ülserler, kusma, öksürük."
Genel Dahiliye,GERD,asitlik,dildeki ülserler,kusma,öksürük,göğüs ağrısı,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: GERD. Bölüm: Genel Dahiliye. Belirtiler: asitlik, dildeki ülserler, kusma, öksürük, göğüs ağrısı."
Gastroenteroloji,Kronik Kolestaz,kaşıntı,kusma,sarımsı cilt,mide bulantısı,iştah kaybı,karın ağrısı,gözlerin sararması,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Kronik Kolestaz. Bölüm: Gastroenteroloji. Belirtiler: kaşıntı, kusma, sarımsı cilt, mide bulantısı, iştah kaybı, karın ağrısı, gözlerin sararması."
Gastroenteroloji,Kronik Kolestaz,kusma,sarımsı cilt,mide bulantısı,iştah kaybı,karın ağrısı,gözlerin sararması,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Kronik Kolestaz. Bölüm: Gastroenteroloji. Belirtiler: kusma, sarımsı cilt, mide bulantısı, iştah kaybı, karın ağrısı, gözlerin sararması."
Gastroenteroloji,Kronik Kolestaz,kaşıntı,sarımsı cilt,mide bulantısı,iştah kaybı,karın ağrısı,gözlerin sararması,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Kronik Kolestaz. Bölüm: Gastroenteroloji. Belirtiler: kaşıntı, sarımsı cilt, mide bulantısı, iştah kaybı, karın ağrısı, gözlerin sararması."
Gastroenteroloji,Kronik Kolestaz,kaşıntı,kusma,mide bulantısı,iştah kaybı,karın ağrısı,gözlerin sararması,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Kronik Kolestaz. Bölüm: Gastroenteroloji. Belirtiler: kaşıntı, kusma, mide bulantısı, iştah kaybı, karın ağrısı, gözlerin sararması."
Gastroenteroloji,Kronik Kolestaz,kaşıntı,kusma,sarımsı cilt,iştah kaybı,karın ağrısı,gözlerin sararması,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Kronik Kolestaz. Bölüm: Gastroenteroloji. Belirtiler: kaşıntı, kusma, sarımsı cilt, iştah kaybı, karın ağrısı, gözlerin sararması."
Gastroenteroloji,Kronik Kolestaz,kaşıntı,kusma,sarımsı cilt,mide bulantısı,karın ağrısı,gözlerin sararması,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Kronik Kolestaz. Bölüm: Gastroenteroloji. Belirtiler: kaşıntı, kusma, sarımsı cilt, mide bulantısı, karın ağrısı, gözlerin sararması."
Gastroenteroloji,Kronik Kolestaz,kaşıntı,kusma,sarımsı cilt,mide bulantısı,iştah kaybı,gözlerin sararması,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Kronik Kolestaz. Bölüm: Gastroenteroloji. Belirtiler: kaşıntı, kusma, sarımsı cilt, mide bulantısı, iştah kaybı, gözlerin sararması."
Gastroenteroloji,Kronik Kolestaz,kaşıntı,kusma,sarımsı cilt,mide bulantısı,iştah kaybı,karın ağrısı,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Kronik Kolestaz. Bölüm: Gastroenteroloji. Belirtiler: kaşıntı, kusma, sarımsı cilt, mide bulantısı, iştah kaybı, karın ağrısı."
Genel Dahiliye,İlaç Reaksiyonu,kaşıntı,deri döküntüsü,karın ağrısı,idrar yaparken yanma,lekeli idrar,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: İlaç Reaksiyonu. Bölüm: Genel Dahiliye. Belirtiler: kaşıntı, deri döküntüsü, karın ağrısı, idrar yaparken yanma, lekeli idrar."
Genel Dahiliye,İlaç Reaksiyonu,kaşıntı,karın ağrısı,idrar yaparken yanma,lekeli idrar,,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: İlaç Reaksiyonu. Bölüm: Genel Dahiliye. Belirtiler: kaşıntı, karın ağrısı, idrar yaparken yanma, lekeli idrar."
Genel Dahiliye,İlaç Reaksiyonu,kaşıntı,deri döküntüsü,idrar yaparken yanma,lekeli idrar,,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: İlaç Reaksiyonu. Bölüm: Genel Dahiliye. Belirtiler: kaşıntı, deri döküntüsü, idrar yaparken yanma, lekeli idrar."
Genel Dahiliye,İlaç Reaksiyonu,kaşıntı,deri döküntüsü,karın ağrısı,lekeli idrar,,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: İlaç Reaksiyonu. Bölüm: Genel Dahiliye. Belirtiler: kaşıntı, deri döküntüsü, karın ağrısı, lekeli idrar."
Genel Dahiliye,İlaç Reaksiyonu,kaşıntı,deri döküntüsü,karın ağrısı,idrar yaparken yanma,,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: İlaç Reaksiyonu. Bölüm: Genel Dahiliye. Belirtiler: kaşıntı, deri döküntüsü, karın ağrısı, idrar yaparken yanma."
Genel Dahiliye,İlaç Reaksiyonu,deri döküntüsü,karın ağrısı,idrar yaparken yanma,lekeli idrar,,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: İlaç Reaksiyonu. Bölüm: Genel Dahiliye. Belirtiler: deri döküntüsü, karın ağrısı, idrar yaparken yanma, lekeli idrar."
Gastroenteroloji,Peptik Ülser Hastalığı,kusma,iştah kaybı,karın ağrısı,gaz çıkışı,iç kaşıntı,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Peptik Ülser Hastalığı. Bölüm: Gastroenteroloji. Belirtiler: kusma, iştah kaybı, karın ağrısı, gaz çıkışı, iç kaşıntı."
Gastroenteroloji,Peptik Ülser Hastalığı,kusma,hazımsızlık,karın ağrısı,gaz çıkışı,iç kaşıntı,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Peptik Ülser Hastalığı. Bölüm: Gastroenteroloji. Belirtiler: kusma, hazımsızlık, karın ağrısı, gaz çıkışı, iç kaşıntı."
Gastroenteroloji,Peptik Ülser Hastalığı,hazımsızlık,iştah kaybı,karın ağrısı,gaz çıkışı,iç kaşıntı,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Peptik Ülser Hastalığı. Bölüm: Gastroenteroloji. Belirtiler: hazımsızlık, iştah kaybı, karın ağrısı, gaz çıkışı, iç kaşıntı."
Gastroenteroloji,Peptik Ülser Hastalığı,kusma,hazımsızlık,iştah kaybı,gaz çıkışı,iç kaşıntı,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Peptik Ülser Hastalığı. Bölüm: Gastroenteroloji. Belirtiler: kusma, hazımsızlık, iştah kaybı, gaz çıkışı, iç kaşıntı."
Gastroenteroloji,Peptik Ülser Hastalığı,kusma,hazımsızlık,iştah kaybı,karın ağrısı,iç kaşıntı,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Peptik Ülser Hastalığı. Bölüm: Gastroenteroloji. Belirtiler: kusma, hazımsızlık, iştah kaybı, karın ağrısı, iç kaşıntı."
Gastroenteroloji,Peptik Ülser Hastalığı,kusma,hazımsızlık,iştah kaybı,karın ağrısı,gaz çıkışı,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Peptik Ülser Hastalığı. Bölüm: Gastroenteroloji. Belirtiler: kusma, hazımsızlık, iştah kaybı, karın ağrısı, gaz çıkışı."
Gastroenteroloji,Peptik Ülser Hastalığı,kusma,hazımsızlık,iştah kaybı,karın ağrısı,gaz çıkışı,iç kaşıntı,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Peptik Ülser Hastalığı. Bölüm: Gastroenteroloji. Belirtiler: kusma, hazımsızlık, iştah kaybı, karın ağrısı, gaz çıkışı, iç kaşıntı."
Enfeksiyon Hastalıkları,AIDS,kas erimesi,boğazdaki lekeler,yüksek ateş,evlilik dışı ilişkiler,,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: AIDS. Bölüm: Enfeksiyon Hastalıkları. Belirtiler: kas erimesi, boğazdaki lekeler, yüksek ateş, evlilik dışı ilişkiler."
Enfeksiyon Hastalıkları,AIDS,boğazdaki lekeler,yüksek ateş,evlilik dışı ilişkiler,,,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: AIDS. Bölüm: Enfeksiyon Hastalıkları. Belirtiler: boğazdaki lekeler, yüksek ateş, evlilik dışı ilişkiler."
Enfeksiyon Hastalıkları,AIDS,kas erimesi,yüksek ateş,evlilik dışı ilişkiler,,,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: AIDS. Bölüm: Enfeksiyon Hastalıkları. Belirtiler: kas erimesi, yüksek ateş, evlilik dışı ilişkiler."
Enfeksiyon Hastalıkları,AIDS,kas erimesi,boğazdaki lekeler,evlilik dışı ilişkiler,,,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: AIDS. Bölüm: Enfeksiyon Hastalıkları. Belirtiler: kas erimesi, boğazdaki lekeler, evlilik dışı ilişkiler."
Enfeksiyon Hastalıkları,AIDS,kas erimesi,boğazdaki lekeler,yüksek ateş,,,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: AIDS. Bölüm: Enfeksiyon Hastalıkları. Belirtiler: kas erimesi, boğazdaki lekeler, yüksek ateş."
Dahiliye (İç Hastalıkları),Diyabet,yorgunluk,kilo kaybı,huzursuzluk,rehavet,düzensiz şeker seviyesi,bulanık ve bozuk görüş,obezite,aşırı açlık,iştah artışı,sık idrara çıkma,,,,,,,,,,,,,,,,,,,"Hastalık: Diyabet. Bölüm: Dahiliye (İç Hastalıkları). Belirtiler: yorgunluk, kilo kaybı, huzursuzluk, rehavet, düzensiz şeker seviyesi, bulanık ve bozuk görüş, obezite, aşırı açlık, iştah artışı, sık idrara çıkma."
Dahiliye (İç Hastalıkları),Diyabet,kilo kaybı,huzursuzluk,rehavet,düzensiz şeker seviyesi,bulanık ve bozuk görüş,obezite,aşırı açlık,iştah artışı,sık idrara çıkma,,,,,,,,,,,,,,,,,,,,"Hastalık: Diyabet. Bölüm: Dahiliye (İç Hastalıkları). Belirtiler: kilo kaybı, huzursuzluk, rehavet, düzensiz şeker seviyesi, bulanık ve bozuk görüş, obezite, aşırı açlık, iştah artışı, sık idrara çıkma."
Dahiliye (İç Hastalıkları),Diyabet,yorgunluk,huzursuzluk,rehavet,düzensiz şeker seviyesi,bulanık ve bozuk görüş,obezite,aşırı açlık,iştah artışı,sık idrara çıkma,,,,,,,,,,,,,,,,,,,,"Hastalık: Diyabet. Bölüm: Dahiliye (İç Hastalıkları). Belirtiler: yorgunluk, huzursuzluk, rehavet, düzensiz şeker seviyesi, bulanık ve bozuk görüş, obezite, aşırı açlık, iştah artışı, sık idrara çıkma."
Dahiliye (İç Hastalıkları),Diyabet,yorgunluk,kilo kaybı,rehavet,düzensiz şeker seviyesi,bulanık ve bozuk görüş,obezite,aşırı açlık,iştah artışı,sık idrara çıkma,,,,,,,,,,,,,,,,,,,,"Hastalık: Diyabet. Bölüm: Dahiliye (İç Hastalıkları). Belirtiler: yorgunluk, kilo kaybı, rehavet, düzensiz şeker seviyesi, bulanık ve bozuk görüş, obezite, aşırı açlık, iştah artışı, sık idrara çıkma."
Dahiliye (İç Hastalıkları),Diyabet,yorgunluk,kilo kaybı,huzursuzluk,düzensiz şeker seviyesi,bulanık ve bozuk görüş,obezite,aşırı açlık,iştah artışı,sık idrara çıkma,,,,,,,,,,,,,,,,,,,,"Hastalık: Diyabet. Bölüm: Dahiliye (İç Hastalıkları). Belirtiler: yorgunluk, kilo kaybı, huzursuzluk, düzensiz şeker seviyesi, bulanık ve bozuk görüş, obezite, aşırı açlık, iştah artışı, sık idrara çıkma."
Dahiliye (İç Hastalıkları),Diyabet,yorgunluk,kilo kaybı,huzursuzluk,rehavet,bulanık ve bozuk görüş,obezite,aşırı açlık,iştah artışı,sık idrara çıkma,,,,,,,,,,,,,,,,,,,,"Hastalık: Diyabet. Bölüm: Dahiliye (İç Hastalıkları). Belirtiler: yorgunluk, kilo kaybı, huzursuzluk, rehavet, bulanık ve bozuk görüş, obezite, aşırı açlık, iştah artışı, sık idrara çıkma."
Dahiliye (İç Hastalıkları),Diyabet,yorgunluk,kilo kaybı,huzursuzluk,rehavet,düzensiz şeker seviyesi,obezite,aşırı açlık,iştah artışı,sık idrara çıkma,,,,,,,,,,,,,,,,,,,,"Hastalık: Diyabet. Bölüm: Dahiliye (İç Hastalıkları). Belirtiler: yorgunluk, kilo kaybı, huzursuzluk, rehavet, düzensiz şeker seviyesi, obezite, aşırı açlık, iştah artışı, sık idrara çıkma."
Dahiliye (İç Hastalıkları),Diyabet,yorgunluk,kilo kaybı,huzursuzluk,rehavet,düzensiz şeker seviyesi,bulanık ve bozuk görüş,aşırı açlık,iştah artışı,sık idrara çıkma,,,,,,,,,,,,,,,,,,,,"Hastalık: Diyabet. Bölüm: Dahiliye (İç Hastalıkları). Belirtiler: yorgunluk, kilo kaybı, huzursuzluk, rehavet, düzensiz şeker seviyesi, bulanık ve bozuk görüş, aşırı açlık, iştah artışı, sık idrara çıkma."
Dahiliye (İç Hastalıkları),Diyabet,yorgunluk,kilo kaybı,huzursuzluk,rehavet,düzensiz şeker seviyesi,bulanık ve bozuk görüş,obezite,iştah artışı,sık idrara çıkma,,,,,,,,,,,,,,,,,,,,"Hastalık: Diyabet. Bölüm: Dahiliye (İç Hastalıkları). Belirtiler: yorgunluk, kilo kaybı, huzursuzluk, rehavet, düzensiz şeker seviyesi, bulanık ve bozuk görüş, obezite, iştah artışı, sık idrara çıkma."
Gastroenteroloji,Gastroenterit,kusma,çökmüş gözler,dehidrasyon,ishal,,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Gastroenterit. Bölüm: Gastroenteroloji. Belirtiler: kusma, çökmüş gözler, dehidrasyon, ishal."
Gastroenteroloji,Gastroenterit,çökmüş gözler,dehidrasyon,ishal,,,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Gastroenterit. Bölüm: Gastroenteroloji. Belirtiler: çökmüş gözler, dehidrasyon, ishal."
Gastroenteroloji,Gastroenterit,kusma,dehidrasyon,ishal,,,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Gastroenterit. Bölüm: Gastroenteroloji. Belirtiler: kusma, dehidrasyon, ishal."
Gastroenteroloji,Gastroenterit,kusma,çökmüş gözler,ishal,,,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Gastroenterit. Bölüm: Gastroenteroloji. Belirtiler: kusma, çökmüş gözler, ishal."
Gastroenteroloji,Gastroenterit,kusma,çökmüş gözler,dehidrasyon,,,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Gastroenterit. Bölüm: Gastroenteroloji. Belirtiler: kusma, çökmüş gözler, dehidrasyon."
Göğüs Hastalıkları,Bronşiyal Astım,yorgunluk,öksürük,yüksek ateş,nefes darlığı,aile öyküsü,sümüklü balgam,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Bronşiyal Astım. Bölüm: Göğüs Hastalıkları. Belirtiler: yorgunluk, öksürük, yüksek ateş, nefes darlığı, aile öyküsü, sümüklü balgam."
Göğüs Hastalıkları,Bronşiyal Astım,öksürük,yüksek ateş,nefes darlığı,aile öyküsü,sümüklü balgam,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Bronşiyal Astım. Bölüm: Göğüs Hastalıkları. Belirtiler: öksürük, yüksek ateş, nefes darlığı, aile öyküsü, sümüklü balgam."
Göğüs Hastalıkları,Bronşiyal Astım,yorgunluk,yüksek ateş,nefes darlığı,aile öyküsü,sümüklü balgam,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Bronşiyal Astım. Bölüm: Göğüs Hastalıkları. Belirtiler: yorgunluk, yüksek ateş, nefes darlığı, aile öyküsü, sümüklü balgam."
Göğüs Hastalıkları,Bronşiyal Astım,yorgunluk,öksürük,nefes darlığı,aile öyküsü,sümüklü balgam,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Bronşiyal Astım. Bölüm: Göğüs Hastalıkları. Belirtiler: yorgunluk, öksürük, nefes darlığı, aile öyküsü, sümüklü balgam."
Göğüs Hastalıkları,Bronşiyal Astım,yorgunluk,öksürük,yüksek ateş,aile öyküsü,sümüklü balgam,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Bronşiyal Astım. Bölüm: Göğüs Hastalıkları. Belirtiler: yorgunluk, öksürük, yüksek ateş, aile öyküsü, sümüklü balgam."
Göğüs Hastalıkları,Bronşiyal Astım,yorgunluk,öksürük,yüksek ateş,nefes darlığı,sümüklü balgam,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Bronşiyal Astım. Bölüm: Göğüs Hastalıkları. Belirtiler: yorgunluk, öksürük, yüksek ateş, nefes darlığı, sümüklü balgam."
Göğüs Hastalıkları,Bronşiyal Astım,yorgunluk,öksürük,yüksek ateş,nefes darlığı,aile öyküsü,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Bronşiyal Astım. Bölüm: Göğüs Hastalıkları. Belirtiler: yorgunluk, öksürük, yüksek ateş, nefes darlığı, aile öyküsü."
Kardiyoloji,Hipertansiyon,baş ağrısı,göğüs ağrısı,baş dönmesi,denge kaybı,konsantrasyon eksikliği,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Hipertansiyon. Bölüm: Kardiyoloji. Belirtiler: baş ağrısı, göğüs ağrısı, baş dönmesi, denge kaybı, konsantrasyon eksikliği."
Kardiyoloji,Hipertansiyon,göğüs ağrısı,baş dönmesi,denge kaybı,konsantrasyon eksikliği,,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Hipertansiyon. Bölüm: Kardiyoloji. Belirtiler: göğüs ağrısı, baş dönmesi, denge kaybı, konsantrasyon eksikliği."
Kardiyoloji,Hipertansiyon,baş ağrısı,baş dönmesi,denge kaybı,konsantrasyon eksikliği,,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Hipertansiyon. Bölüm: Kardiyoloji. Belirtiler: baş ağrısı, baş dönmesi, denge kaybı, konsantrasyon eksikliği."
Kardiyoloji,Hipertansiyon,baş ağrısı,göğüs ağrısı,denge kaybı,konsantrasyon eksikliği,,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Hipertansiyon. Bölüm: Kardiyoloji. Belirtiler: baş ağrısı, göğüs ağrısı, denge kaybı, konsantrasyon eksikliği."
Kardiyoloji,Hipertansiyon,baş ağrısı,göğüs ağrısı,baş dönmesi,konsantrasyon eksikliği,,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Hipertansiyon. Bölüm: Kardiyoloji. Belirtiler: baş ağrısı, göğüs ağrısı, baş dönmesi, konsantrasyon eksikliği."
Kardiyoloji,Hipertansiyon,baş ağrısı,göğüs ağrısı,baş dönmesi,denge kaybı,,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Hipertansiyon. Bölüm: Kardiyoloji. Belirtiler: baş ağrısı, göğüs ağrısı, baş dönmesi, denge kaybı."
Nöroloji,Migren,asitlik,hazımsızlık,baş ağrısı,bulanık ve bozuk görüş,aşırı açlık,boyun tutulması,depresyon,sinirlilik,görme bozuklukları,,,,,,,,,,,,,,,,,,,,"Hastalık: Migren. Bölüm: Nöroloji. Belirtiler: asitlik, hazımsızlık, baş ağrısı, bulanık ve bozuk görüş, aşırı açlık, boyun tutulması, depresyon, sinirlilik, görme bozuklukları."
Nöroloji,Migren,hazımsızlık,baş ağrısı,bulanık ve bozuk görüş,aşırı açlık,boyun tutulması,depresyon,sinirlilik,görme bozuklukları,,,,,,,,,,,,,,,,,,,,,"Hastalık: Migren. Bölüm: Nöroloji. Belirtiler: hazımsızlık, baş ağrısı, bulanık ve bozuk görüş, aşırı açlık, boyun tutulması, depresyon, sinirlilik, görme bozuklukları."
Nöroloji,Migren,asitlik,baş ağrısı,bulanık ve bozuk görüş,aşırı açlık,boyun tutulması,depresyon,sinirlilik,görme bozuklukları,,,,,,,,,,,,,,,,,,,,,"Hastalık: Migren. Bölüm: Nöroloji. Belirtiler: asitlik, baş ağrısı, bulanık ve bozuk görüş, aşırı açlık, boyun tutulması, depresyon, sinirlilik, görme bozuklukları."
Nöroloji,Migren,asitlik,hazımsızlık,bulanık ve bozuk görüş,aşırı açlık,boyun tutulması,depresyon,sinirlilik,görme bozuklukları,,,,,,,,,,,,,,,,,,,,,"Hastalık: Migren. Bölüm: Nöroloji. Belirtiler: asitlik, hazımsızlık, bulanık ve bozuk görüş, aşırı açlık, boyun tutulması, depresyon, sinirlilik, görme bozuklukları."
Nöroloji,Migren,asitlik,hazımsızlık,baş ağrısı,aşırı açlık,boyun tutulması,depresyon,sinirlilik,görme bozuklukları,,,,,,,,,,,,,,,,,,,,,"Hastalık: Migren. Bölüm: Nöroloji. Belirtiler: asitlik, hazımsızlık, baş ağrısı, aşırı açlık, boyun tutulması, depresyon, sinirlilik, görme bozuklukları."
Nöroloji,Migren,asitlik,hazımsızlık,baş ağrısı,bulanık ve bozuk görüş,boyun tutulması,depresyon,sinirlilik,görme bozuklukları,,,,,,,,,,,,,,,,,,,,,"Hastalık: Migren. Bölüm: Nöroloji. Belirtiler: asitlik, hazımsızlık, baş ağrısı, bulanık ve bozuk görüş, boyun tutulması, depresyon, sinirlilik, görme bozuklukları."
Nöroloji,Migren,asitlik,hazımsızlık,baş ağrısı,bulanık ve bozuk görüş,aşırı açlık,depresyon,sinirlilik,görme bozuklukları,,,,,,,,,,,,,,,,,,,,,"Hastalık: Migren. Bölüm: Nöroloji. Belirtiler: asitlik, hazımsızlık, baş ağrısı, bulanık ve bozuk görüş, aşırı açlık, depresyon, sinirlilik, görme bozuklukları."
Nöroloji,Migren,asitlik,hazımsızlık,baş ağrısı,bulanık ve bozuk görüş,aşırı açlık,boyun tutulması,sinirlilik,görme bozuklukları,,,,,,,,,,,,,,,,,,,,,"Hastalık: Migren. Bölüm: Nöroloji. Belirtiler: asitlik, hazımsızlık, baş ağrısı, bulanık ve bozuk görüş, aşırı açlık, boyun tutulması, sinirlilik, görme bozuklukları."
Nöroloji,Migren,asitlik,hazımsızlık,baş ağrısı,bulanık ve bozuk görüş,aşırı açlık,boyun tutulması,depresyon,görme bozuklukları,,,,,,,,,,,,,,,,,,,,,"Hastalık: Migren. Bölüm: Nöroloji. Belirtiler: asitlik, hazımsızlık, baş ağrısı, bulanık ve bozuk görüş, aşırı açlık, boyun tutulması, depresyon, görme bozuklukları."
