Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Symptom_18,Symptom_19,Symptom_20,Symptom_21,Symptom_22,Symptom_23,Symptom_24,Symptom_25,Symptom_26,Symptom_27,Symptom_28
Bronşiyal Astım,öksürük,yüksek ateş,nefes darlığı,aile öyküsü,sümüklü balgam,,,,,,,,,,,,,,,,,,,,,,,
Bronşiyal Astım,yorgunluk,yüksek ateş,nefes darlığı,aile öyküsü,sümüklü balgam,,,,,,,,,,,,,,,,,,,,,,,
Bronşiyal Astım,yorgunluk,öksürük,nefes darlığı,aile öyküsü,sümüklü balgam,,,,,,,,,,,,,,,,,,,,,,,
Bronşiyal Astım,yorgunluk,öksürük,yüksek ateş,aile öyküsü,sümüklü balgam,,,,,,,,,,,,,,,,,,,,,,,
Bronşiyal Astım,yorgunluk,öksürük,yüksek ateş,nefes darlığı,sümüklü balgam,,,,,,,,,,,,,,,,,,,,,,,
Bronşiyal Astım,yorgunluk,öksürük,yüksek ateş,nefes darlığı,aile öyküsü,,,,,,,,,,,,,,,,,,,,,,,
Hipertansiyon,baş ağrısı,göğüs ağrısı,baş dönmesi,denge kaybı,konsantrasyon eksikliği,,,,,,,,,,,,,,,,,,,,,,,
Hipertansiyon,göğüs ağrısı,baş dönmesi,denge kaybı,konsantrasyon eksikliği,,,,,,,,,,,,,,,,,,,,,,,,
Hipertansiyon,baş ağrısı,baş dönmesi,denge kaybı,konsantrasyon eksikliği,,,,,,,,,,,,,,,,,,,,,,,,
Hipertansiyon,baş ağrısı,göğüs ağrısı,denge kaybı,konsantrasyon eksikliği,,,,,,,,,,,,,,,,,,,,,,,,
Hipertansiyon,baş ağrısı,göğüs ağrısı,baş dönmesi,konsantrasyon eksikliği,,,,,,,,,,,,,,,,,,,,,,,,
Hipertansiyon,baş ağrısı,göğüs ağrısı,baş dönmesi,denge kaybı,,,,,,,,,,,,,,,,,,,,,,,,
Migren,asitlik,hazımsızlık,baş ağrısı,bulanık ve bozuk görüş,aşırı açlık,boyun tutulması,depresyon,sinirlilik,görme bozuklukları,,,,,,,,,,,,,,,,,,,
Migren,hazımsızlık,baş ağrısı,bulanık ve bozuk görüş,aşırı açlık,boyun tutulması,depresyon,sinirlilik,görme bozuklukları,,,,,,,,,,,,,,,,,,,,
Migren,asitlik,baş ağrısı,bulanık ve bozuk görüş,aşırı açlık,boyun tutulması,depresyon,sinirlilik,görme bozuklukları,,,,,,,,,,,,,,,,,,,,
Migren,asitlik,hazımsızlık,bulanık ve bozuk görüş,aşırı açlık,boyun tutulması,depresyon,sinirlilik,görme bozuklukları,,,,,,,,,,,,,,,,,,,,
Migren,asitlik,hazımsızlık,baş ağrısı,aşırı açlık,boyun tutulması,depresyon,sinirlilik,görme bozuklukları,,,,,,,,,,,,,,,,,,,,
Migren,asitlik,hazımsızlık,baş ağrısı,bulanık ve bozuk görüş,boyun tutulması,depresyon,sinirlilik,görme bozuklukları,,,,,,,,,,,,,,,,,,,,
Migren,asitlik,hazımsızlık,baş ağrısı,bulanık ve bozuk görüş,aşırı açlık,depresyon,sinirlilik,görme bozuklukları,,,,,,,,,,,,,,,,,,,,
Migren,asitlik,hazımsızlık,baş ağrısı,bulanık ve bozuk görüş,aşırı açlık,boyun tutulması,sinirlilik,görme bozuklukları,,,,,,,,,,,,,,,,,,,,
Migren,asitlik,hazımsızlık,baş ağrısı,bulanık ve bozuk görüş,aşırı açlık,boyun tutulması,depresyon,görme bozuklukları,,,,,,,,,,,,,,,,,,,,
Migren,asitlik,hazımsızlık,baş ağrısı,bulanık ve bozuk görüş,aşırı açlık,boyun tutulması,depresyon,sinirlilik,,,,,,,,,,,,,,,,,,,,
Servikal Spondiloz,sırt ağrısı,uzuvlarda zayıflık,boyun ağrısı,baş dönmesi,denge kaybı,,,,,,,,,,,,,,,,,,,,,,,
Servikal Spondiloz,uzuvlarda zayıflık,boyun ağrısı,baş dönmesi,denge kaybı,,,,,,,,,,,,,,,,,,,,,,,,
Servikal Spondiloz,sırt ağrısı,boyun ağrısı,baş dönmesi,denge kaybı,,,,,,,,,,,,,,,,,,,,,,,,
Servikal Spondiloz,sırt ağrısı,uzuvlarda zayıflık,baş dönmesi,denge kaybı,,,,,,,,,,,,,,,,,,,,,,,,
Servikal Spondiloz,sırt ağrısı,uzuvlarda zayıflık,boyun ağrısı,denge kaybı,,,,,,,,,,,,,,,,,,,,,,,,
Servikal Spondiloz,sırt ağrısı,uzuvlarda zayıflık,boyun ağrısı,baş dönmesi,,,,,,,,,,,,,,,,,,,,,,,,
Felç (beyin kanaması),kusma,baş ağrısı,vücudun bir tarafının zayıflığı,zihin bulanıklığı,,,,,,,,,,,,,,,,,,,,,,,,
Felç (beyin kanaması),baş ağrısı,vücudun bir tarafının zayıflığı,zihin bulanıklığı,,,,,,,,,,,,,,,,,,,,,,,,,
Felç (beyin kanaması),kusma,vücudun bir tarafının zayıflığı,zihin bulanıklığı,,,,,,,,,,,,,,,,,,,,,,,,,
Felç (beyin kanaması),kusma,baş ağrısı,zihin bulanıklığı,,,,,,,,,,,,,,,,,,,,,,,,,
Felç (beyin kanaması),kusma,baş ağrısı,vücudun bir tarafının zayıflığı,,,,,,,,,,,,,,,,,,,,,,,,,
Sarılık,kaşıntı,kusma,yorgunluk,kilo kaybı,yüksek ateş,sarımsı cilt,koyu idrar,karın ağrısı,,,,,,,,,,,,,,,,,,,,
Sarılık,kusma,yorgunluk,kilo kaybı,yüksek ateş,sarımsı cilt,koyu idrar,karın ağrısı,,,,,,,,,,,,,,,,,,,,,
Sarılık,kaşıntı,yorgunluk,kilo kaybı,yüksek ateş,sarımsı cilt,koyu idrar,karın ağrısı,,,,,,,,,,,,,,,,,,,,,
Sarılık,kaşıntı,kusma,kilo kaybı,yüksek ateş,sarımsı cilt,koyu idrar,karın ağrısı,,,,,,,,,,,,,,,,,,,,,
Sarılık,kaşıntı,kusma,yorgunluk,yüksek ateş,sarımsı cilt,koyu idrar,karın ağrısı,,,,,,,,,,,,,,,,,,,,,
Sarılık,kaşıntı,kusma,yorgunluk,kilo kaybı,sarımsı cilt,koyu idrar,karın ağrısı,,,,,,,,,,,,,,,,,,,,,
Sarılık,kaşıntı,kusma,yorgunluk,kilo kaybı,yüksek ateş,koyu idrar,karın ağrısı,,,,,,,,,,,,,,,,,,,,,
Sarılık,kaşıntı,kusma,yorgunluk,kilo kaybı,yüksek ateş,sarımsı cilt,karın ağrısı,,,,,,,,,,,,,,,,,,,,,
Sarılık,kaşıntı,kusma,yorgunluk,kilo kaybı,yüksek ateş,sarımsı cilt,koyu idrar,,,,,,,,,,,,,,,,,,,,,
Sıtma,üşümek,kusma,yüksek ateş,terlemek,baş ağrısı,mide bulantısı,kas ağrısı,,,,,,,,,,,,,,,,,,,,,
Sıtma,üşümek,kusma,yüksek ateş,terlemek,baş ağrısı,mide bulantısı,ishal,kas ağrısı,,,,,,,,,,,,,,,,,,,,
Sıtma,kusma,yüksek ateş,terlemek,baş ağrısı,mide bulantısı,ishal,kas ağrısı,,,,,,,,,,,,,,,,,,,,,
Sıtma,üşümek,yüksek ateş,terlemek,baş ağrısı,mide bulantısı,ishal,kas ağrısı,,,,,,,,,,,,,,,,,,,,,
Sıtma,üşümek,kusma,terlemek,baş ağrısı,mide bulantısı,ishal,kas ağrısı,,,,,,,,,,,,,,,,,,,,,
Sıtma,üşümek,kusma,yüksek ateş,baş ağrısı,mide bulantısı,ishal,kas ağrısı,,,,,,,,,,,,,,,,,,,,,
Sıtma,üşümek,kusma,yüksek ateş,terlemek,mide bulantısı,ishal,kas ağrısı,,,,,,,,,,,,,,,,,,,,,
Sıtma,üşümek,kusma,yüksek ateş,terlemek,baş ağrısı,ishal,kas ağrısı,,,,,,,,,,,,,,,,,,,,,
Suçiçeği,kaşıntı,deri döküntüsü,yorgunluk,rehavet,yüksek ateş,baş ağrısı,iştah kaybı,hafif ateş,şişmiş lenf düğümleri,keyifsizlik,vücutta kırmızı lekeler,,,,,,,,,,,,,,,,,
Suçiçeği,deri döküntüsü,yorgunluk,rehavet,yüksek ateş,baş ağrısı,iştah kaybı,hafif ateş,şişmiş lenf düğümleri,keyifsizlik,vücutta kırmızı lekeler,,,,,,,,,,,,,,,,,,
Suçiçeği,kaşıntı,yorgunluk,rehavet,yüksek ateş,baş ağrısı,iştah kaybı,hafif ateş,şişmiş lenf düğümleri,keyifsizlik,vücutta kırmızı lekeler,,,,,,,,,,,,,,,,,,
Suçiçeği,kaşıntı,deri döküntüsü,rehavet,yüksek ateş,baş ağrısı,iştah kaybı,hafif ateş,şişmiş lenf düğümleri,keyifsizlik,vücutta kırmızı lekeler,,,,,,,,,,,,,,,,,,
Suçiçeği,kaşıntı,deri döküntüsü,yorgunluk,yüksek ateş,baş ağrısı,iştah kaybı,hafif ateş,şişmiş lenf düğümleri,keyifsizlik,vücutta kırmızı lekeler,,,,,,,,,,,,,,,,,,
Suçiçeği,kaşıntı,deri döküntüsü,yorgunluk,rehavet,baş ağrısı,iştah kaybı,hafif ateş,şişmiş lenf düğümleri,keyifsizlik,vücutta kırmızı lekeler,,,,,,,,,,,,,,,,,,
Suçiçeği,kaşıntı,deri döküntüsü,yorgunluk,rehavet,yüksek ateş,iştah kaybı,hafif ateş,şişmiş lenf düğümleri,keyifsizlik,vücutta kırmızı lekeler,,,,,,,,,,,,,,,,,,
Suçiçeği,kaşıntı,deri döküntüsü,yorgunluk,rehavet,yüksek ateş,baş ağrısı,hafif ateş,şişmiş lenf düğümleri,keyifsizlik,vücutta kırmızı lekeler,,,,,,,,,,,,,,,,,,
Suçiçeği,kaşıntı,deri döküntüsü,yorgunluk,rehavet,yüksek ateş,baş ağrısı,iştah kaybı,şişmiş lenf düğümleri,keyifsizlik,vücutta kırmızı lekeler,,,,,,,,,,,,,,,,,,
Suçiçeği,kaşıntı,deri döküntüsü,yorgunluk,rehavet,yüksek ateş,baş ağrısı,iştah kaybı,hafif ateş,keyifsizlik,vücutta kırmızı lekeler,,,,,,,,,,,,,,,,,,
Dang Humması,deri döküntüsü,üşümek,eklem ağrısı,kusma,yorgunluk,yüksek ateş,baş ağrısı,mide bulantısı,iştah kaybı,gözlerin arkasındaki ağrı,sırt ağrısı,kas ağrısı,vücutta kırmızı lekeler,,,,,,,,,,,,,,,
Dang Humması,deri döküntüsü,üşümek,eklem ağrısı,kusma,yorgunluk,yüksek ateş,baş ağrısı,mide bulantısı,iştah kaybı,gözlerin arkasındaki ağrı,sırt ağrısı,keyifsizlik,vücutta kırmızı lekeler,,,,,,,,,,,,,,,
Dang Humması,deri döküntüsü,üşümek,eklem ağrısı,kusma,yorgunluk,yüksek ateş,baş ağrısı,mide bulantısı,iştah kaybı,gözlerin arkasındaki ağrı,sırt ağrısı,keyifsizlik,kas ağrısı,,,,,,,,,,,,,,,
Dang Humması,deri döküntüsü,üşümek,eklem ağrısı,kusma,yorgunluk,yüksek ateş,baş ağrısı,mide bulantısı,iştah kaybı,gözlerin arkasındaki ağrı,sırt ağrısı,keyifsizlik,kas ağrısı,vücutta kırmızı lekeler,,,,,,,,,,,,,,
Dang Humması,üşümek,eklem ağrısı,kusma,yorgunluk,yüksek ateş,baş ağrısı,mide bulantısı,iştah kaybı,gözlerin arkasındaki ağrı,sırt ağrısı,keyifsizlik,kas ağrısı,vücutta kırmızı lekeler,,,,,,,,,,,,,,,
Dang Humması,deri döküntüsü,eklem ağrısı,kusma,yorgunluk,yüksek ateş,baş ağrısı,mide bulantısı,iştah kaybı,gözlerin arkasındaki ağrı,sırt ağrısı,keyifsizlik,kas ağrısı,vücutta kırmızı lekeler,,,,,,,,,,,,,,,
Dang Humması,deri döküntüsü,üşümek,kusma,yorgunluk,yüksek ateş,baş ağrısı,mide bulantısı,iştah kaybı,gözlerin arkasındaki ağrı,sırt ağrısı,keyifsizlik,kas ağrısı,vücutta kırmızı lekeler,,,,,,,,,,,,,,,
Dang Humması,deri döküntüsü,üşümek,eklem ağrısı,yorgunluk,yüksek ateş,baş ağrısı,mide bulantısı,iştah kaybı,gözlerin arkasındaki ağrı,sırt ağrısı,keyifsizlik,kas ağrısı,vücutta kırmızı lekeler,,,,,,,,,,,,,,,
Dang Humması,deri döküntüsü,üşümek,eklem ağrısı,kusma,yüksek ateş,baş ağrısı,mide bulantısı,iştah kaybı,gözlerin arkasındaki ağrı,sırt ağrısı,keyifsizlik,kas ağrısı,vücutta kırmızı lekeler,,,,,,,,,,,,,,,
Dang Humması,deri döküntüsü,üşümek,eklem ağrısı,kusma,yorgunluk,baş ağrısı,mide bulantısı,iştah kaybı,gözlerin arkasındaki ağrı,sırt ağrısı,keyifsizlik,kas ağrısı,vücutta kırmızı lekeler,,,,,,,,,,,,,,,
Tifo,üşümek,kusma,yorgunluk,yüksek ateş,mide bulantısı,kabızlık,karın ağrısı,ishal,zehirli görünüm,karın ağrısı,,,,,,,,,,,,,,,,,,
Tifo,üşümek,kusma,yorgunluk,yüksek ateş,baş ağrısı,kabızlık,karın ağrısı,ishal,zehirli görünüm,karın ağrısı,,,,,,,,,,,,,,,,,,
Tifo,üşümek,kusma,yorgunluk,yüksek ateş,baş ağrısı,mide bulantısı,karın ağrısı,ishal,zehirli görünüm,karın ağrısı,,,,,,,,,,,,,,,,,,
Tifo,üşümek,kusma,yorgunluk,yüksek ateş,baş ağrısı,mide bulantısı,kabızlık,ishal,zehirli görünüm,karın ağrısı,,,,,,,,,,,,,,,,,,
Tifo,üşümek,kusma,yorgunluk,yüksek ateş,baş ağrısı,mide bulantısı,kabızlık,karın ağrısı,zehirli görünüm,karın ağrısı,,,,,,,,,,,,,,,,,,
Tifo,üşümek,kusma,yorgunluk,yüksek ateş,baş ağrısı,mide bulantısı,kabızlık,karın ağrısı,ishal,karın ağrısı,,,,,,,,,,,,,,,,,,
Tifo,üşümek,kusma,yorgunluk,yüksek ateş,baş ağrısı,mide bulantısı,kabızlık,karın ağrısı,ishal,zehirli görünüm,,,,,,,,,,,,,,,,,,
Tifo,üşümek,kusma,yorgunluk,yüksek ateş,baş ağrısı,mide bulantısı,kabızlık,karın ağrısı,ishal,zehirli görünüm,karın ağrısı,,,,,,,,,,,,,,,,,
Tifo,üşümek,yorgunluk,yüksek ateş,baş ağrısı,mide bulantısı,kabızlık,karın ağrısı,ishal,zehirli görünüm,karın ağrısı,,,,,,,,,,,,,,,,,,
Hepatit A,eklem ağrısı,kusma,sarımsı cilt,koyu idrar,mide bulantısı,iştah kaybı,karın ağrısı,ishal,hafif ateş,gözlerin sararması,kas ağrısı,,,,,,,,,,,,,,,,,
Hepatit A,kusma,sarımsı cilt,koyu idrar,mide bulantısı,iştah kaybı,karın ağrısı,ishal,hafif ateş,gözlerin sararması,kas ağrısı,,,,,,,,,,,,,,,,,,
Hepatit A,eklem ağrısı,sarımsı cilt,koyu idrar,mide bulantısı,iştah kaybı,karın ağrısı,ishal,hafif ateş,gözlerin sararması,kas ağrısı,,,,,,,,,,,,,,,,,,
Hepatit A,eklem ağrısı,kusma,koyu idrar,mide bulantısı,iştah kaybı,karın ağrısı,ishal,hafif ateş,gözlerin sararması,kas ağrısı,,,,,,,,,,,,,,,,,,
Hepatit A,eklem ağrısı,kusma,sarımsı cilt,mide bulantısı,iştah kaybı,karın ağrısı,ishal,hafif ateş,gözlerin sararması,kas ağrısı,,,,,,,,,,,,,,,,,,
Hepatit A,eklem ağrısı,kusma,sarımsı cilt,koyu idrar,iştah kaybı,karın ağrısı,ishal,hafif ateş,gözlerin sararması,kas ağrısı,,,,,,,,,,,,,,,,,,
Hepatit A,eklem ağrısı,kusma,sarımsı cilt,koyu idrar,mide bulantısı,karın ağrısı,ishal,hafif ateş,gözlerin sararması,kas ağrısı,,,,,,,,,,,,,,,,,,
Hepatit A,eklem ağrısı,kusma,sarımsı cilt,koyu idrar,mide bulantısı,iştah kaybı,ishal,hafif ateş,gözlerin sararması,kas ağrısı,,,,,,,,,,,,,,,,,,
Hepatit A,eklem ağrısı,kusma,sarımsı cilt,koyu idrar,mide bulantısı,iştah kaybı,karın ağrısı,hafif ateş,gözlerin sararması,kas ağrısı,,,,,,,,,,,,,,,,,,
Hepatit B,kaşıntı,yorgunluk,rehavet,sarımsı cilt,koyu idrar,iştah kaybı,karın ağrısı,sarı idrar,gözlerin sararması,keyifsizlik,kan nakli almak,steril olmayan enjeksiyonlar almak,,,,,,,,,,,,,,,,
Hepatit B,yorgunluk,rehavet,sarımsı cilt,koyu idrar,iştah kaybı,karın ağrısı,sarı idrar,gözlerin sararması,keyifsizlik,kan nakli almak,steril olmayan enjeksiyonlar almak,,,,,,,,,,,,,,,,,
Hepatit B,kaşıntı,rehavet,sarımsı cilt,koyu idrar,iştah kaybı,karın ağrısı,sarı idrar,gözlerin sararması,keyifsizlik,kan nakli almak,steril olmayan enjeksiyonlar almak,,,,,,,,,,,,,,,,,
Hepatit B,kaşıntı,yorgunluk,sarımsı cilt,koyu idrar,iştah kaybı,karın ağrısı,sarı idrar,gözlerin sararması,keyifsizlik,kan nakli almak,steril olmayan enjeksiyonlar almak,,,,,,,,,,,,,,,,,
Hepatit B,kaşıntı,yorgunluk,rehavet,koyu idrar,iştah kaybı,karın ağrısı,sarı idrar,gözlerin sararması,keyifsizlik,kan nakli almak,steril olmayan enjeksiyonlar almak,,,,,,,,,,,,,,,,,
Hepatit B,kaşıntı,yorgunluk,rehavet,sarımsı cilt,iştah kaybı,karın ağrısı,sarı idrar,gözlerin sararması,keyifsizlik,kan nakli almak,steril olmayan enjeksiyonlar almak,,,,,,,,,,,,,,,,,
Hepatit B,kaşıntı,yorgunluk,rehavet,sarımsı cilt,koyu idrar,karın ağrısı,sarı idrar,gözlerin sararması,keyifsizlik,kan nakli almak,steril olmayan enjeksiyonlar almak,,,,,,,,,,,,,,,,,
Hepatit B,kaşıntı,yorgunluk,rehavet,sarımsı cilt,koyu idrar,iştah kaybı,sarı idrar,gözlerin sararması,keyifsizlik,kan nakli almak,steril olmayan enjeksiyonlar almak,,,,,,,,,,,,,,,,,
Hepatit B,kaşıntı,yorgunluk,rehavet,sarımsı cilt,koyu idrar,iştah kaybı,karın ağrısı,gözlerin sararması,keyifsizlik,kan nakli almak,steril olmayan enjeksiyonlar almak,,,,,,,,,,,,,,,,,
Hepatit C,yorgunluk,sarımsı cilt,mide bulantısı,iştah kaybı,aile öyküsü,,,,,,,,,,,,,,,,,,,,,,,
Hepatit C,yorgunluk,sarımsı cilt,mide bulantısı,iştah kaybı,gözlerin sararması,aile öyküsü,,,,,,,,,,,,,,,,,,,,,,
Hepatit C,sarımsı cilt,mide bulantısı,iştah kaybı,gözlerin sararması,aile öyküsü,,,,,,,,,,,,,,,,,,,,,,,
